title,location,price,area,bedrooms,furniture_status
Apartment Bosboom Toussaintstraat,1054 AT Amsterdam (Helmersbuurt),4750,155,5,Furnished
Apartment Planciusstraat,1013 MD Amsterdam (Haarlemmerbuurt),3250,157,3,Furnished
Apartment Singel 94 B,1015 AD Amsterdam (Grachtengordel-West),4250,135,3,Furnished
Apartment Damstraat 1 E,1012 JL Amsterdam (Burgwallen-Oude Zijde),4000,100,3,Furnished
Apartment Ookmeerweg 8 A,1068 ZX Amsterdam (Osdorp-Oost),1660,123,4,Upholstered
Apartment Kanteel 25,1083 DA Amsterdam (Buitenveldert-Oost),1950,99,3,Furnished
Apartment Lutmastraat,1073 GP Amsterdam (Zuid Pijp),2250,69,3,Upholstered
Apartment Cornelis Trooststraat 26 III,1072 JG Amsterdam (Nieuwe Pijp),3000,107,5,Upholstered
Apartment Nieuwe Keizersgracht 63 A,1018 VD Amsterdam (Weesperbuurt/Plantage),3500,140,5,Furnished
Apartment Vosmaerstraat 4 hs,1054 TB Amsterdam (Overtoomse Sluis),2750,104,4,Upholstered
Apartment Roerstraat 67 hs,1078 LK Amsterdam (Scheldebuurt),2850,110,4,Furnished
Apartment Borssenburgplein 69,1078 WB Amsterdam (IJselbuurt),2475,88,3,Upholstered or furnished
Apartment Vondelkerkstraat,1054 KX Amsterdam (Overtoomse Sluis),2850,77,3,Furnished
Apartment Piet Gijzenbrugstraat,1059 XK Amsterdam (Hoofddorppleinbuurt),2150,70,3,Furnished
Apartment Admiraal De Ruijterweg,1055 NH Amsterdam (Landlust),3950,130,5,Upholstered
Apartment Jan Evertsenstraat,1057 BT Amsterdam (Hoofdweg e.o.),4250,95,5,Furnished
Apartment Oudezijds Voorburgwal,1012 EM Amsterdam (Burgwallen-Oude Zijde),2950,130,5,Upholstered
Apartment Cornelis Vermuydenstraat,1018 RN Amsterdam (Oostelijke Eilanden/Kadijken),2000,70,3,Furnished
Apartment Michelangelostraat 39 hs,1077 BR Amsterdam (Apollobuurt),4650,200,5,Upholstered
Apartment Revaleiland,1014 ZG Amsterdam (Houthavens),3750,155,4,Furnished
Apartment Buitendraaierij,1021 NM Amsterdam (IJplein/Vogelbuurt),1500,46,2,Furnished
Apartment Gerrit van der Veenstraat,1077 EE Amsterdam (Apollobuurt),3475,162,4,Upholstered
Apartment Derde Oosterparkstraat,1092 EH Amsterdam (Oosterparkbuurt),2200,106,3,Upholstered or furnished
Apartment Koningslaan 24 C,1075 AD Amsterdam (Willemspark),3950,83,3,Upholstered
Apartment Brederodestraat,1054 VD Amsterdam (Overtoomse Sluis),1950,43,2,Upholstered
Apartment Termini 405,1025 XM Amsterdam (Buikslotermeer),1480,69,3,Upholstered
Apartment Stadionweg,1077 SV Amsterdam (Apollobuurt),2250,58,3,Upholstered
Apartment Westerstraat,1015 LZ Amsterdam (Jordaan),1850,50,2,Upholstered
Apartment Bosboom Toussaintstraat,1054 AT Amsterdam (Helmersbuurt),4750,155,5,Furnished
Apartment Willem Frederik Hermansstraat,1011 DG Amsterdam (Nieuwmarkt/Lastage),2000,90,3,Furnished
Apartment Runstraat 23 III,1016 GJ Amsterdam (Grachtengordel-West),2000,60,3,Furnished
Apartment Wouwermanstraat 1 1+2,1071 LT Amsterdam (Museumkwartier),3000,140,4,Upholstered
Apartment Sloterkade 138 D,1058 HM Amsterdam (Hoofddorppleinbuurt),2600,106,3,Upholstered
Apartment Rooseveltlaan,1079 AM Amsterdam (Scheldebuurt),4500,121,4,Furnished
Studio Ferdinand Bolstraat,1072 LM Amsterdam (Oude Pijp),1525,35,2,Furnished
Apartment Vierwindenstraat,1013 CW Amsterdam (Haarlemmerbuurt),2350,75,3,Furnished
Apartment Kleine Wittenburgerstraat,1018 LZ Amsterdam (Oostelijke Eilanden/Kadijken),1900,60,2,Furnished
Apartment Maria Austriastraat,1087 JC Amsterdam (IJburg West),1950,39,1,Upholstered or furnished
Apartment Biesboschstraat,1078 MK Amsterdam (Scheldebuurt),2100,80,3,Upholstered
Apartment Derde Kostverlorenkade,1054 TN Amsterdam (Overtoomse Sluis),2000,60,2,Furnished
Apartment Geldersekade,1011 EH Amsterdam (Burgwallen-Oude Zijde),2500,70,3,Upholstered or furnished
Apartment Alexander Boersstraat 31 I,1071 KV Amsterdam (Museumkwartier),2500,61,2,Upholstered or furnished
Apartment Overhaalsgang,1018 AT Amsterdam (Oostelijke Eilanden/Kadijken),1795,65,2,Furnished
Apartment Nieuwe Achtergracht,1018 XV Amsterdam (Weesperbuurt/Plantage),2100,61,3,Upholstered
Apartment Maasstraat,1078 HM Amsterdam (Scheldebuurt),2250,100,3,Upholstered
Apartment Koninginneweg,1075 CT Amsterdam (Willemspark),4000,147,4,Furnished
Apartment Celebesstraat,1094 GB Amsterdam (Indische Buurt West),2150,75,3,Upholstered
Apartment Westlandgracht,1059 TL Amsterdam (Hoofddorppleinbuurt),2750,110,4,Furnished
Apartment Van Nijenrodeweg 239,1082 GW Amsterdam (Buitenveldert-West),2100,87,3,Furnished
Apartment Maria Austriastraat,1087 JC Amsterdam (IJburg West),1750,44,2,Upholstered or furnished
Apartment Nachtwachtlaan 100 PP,1058 EC Amsterdam (Overtoomse Veld),2500,103,4,Furnished
Apartment Borneostraat,1094 CJ Amsterdam (Indische Buurt West),2750,142,4,Upholstered
House Moreelsestraat,1071 BJ Amsterdam (Museumkwartier),6750,195,5,Upholstered
Apartment Tweede Jan Steenstraat 18 hs,1073 VN Amsterdam (Oude Pijp),2750,100,4,Furnished
Apartment Willem de Zwijgerlaan,1055 PV Amsterdam (Landlust),2850,107,4,Furnished
Apartment Bosboom Toussaintstraat,1054 AT Amsterdam (Helmersbuurt),4750,155,5,Furnished
Apartment Voorthuizenstraat 17,1106 DJ Amsterdam (Gein),2000,130,5,Upholstered
Apartment Rustenburgerstraat,1072 HD Amsterdam (Nieuwe Pijp),2550,119,4,Furnished
Apartment Meerhuizenplein,1078 TD Amsterdam (IJselbuurt),2475,91,3,Furnished
Studio Borneokade,1019 AV Amsterdam (Oostelijk Havengebied),1300,35,1,Furnished
Apartment Uiterwaardenstraat,1079 CM Amsterdam (Scheldebuurt),1750,50,2,Furnished
Apartment Erik de Roodestraat,1056 AK Amsterdam (De Kolenkit),3250,100,4,Furnished
Apartment Sarphatistraat,1018 GK Amsterdam (Weesperbuurt/Plantage),4950,142,5,Furnished
Apartment Koningin Wilhelminaplein,1062 KS Amsterdam (Westlandgracht),4300,178,5,Furnished
Apartment Bos en Lommerweg,1055 EA Amsterdam (Erasmuspark),2700,122,3,Upholstered
Apartment Goudsbloemstraat,1015 JK Amsterdam (Jordaan),2450,80,3,Furnished
Apartment Leliegracht,1015 DG Amsterdam (Grachtengordel-West),3250,115,3,Furnished
Apartment Jisperveldstraat 87,1024 AD Amsterdam (Waterlandpleinbuurt),2100,100,3,Furnished
Apartment Rozengracht,1016 SZ Amsterdam (Jordaan),2500,80,2,Furnished
Apartment Eerste Constantijn Huygensstraat 32 C,1054 BR Amsterdam (Helmersbuurt),5500,200,4,Furnished
Apartment Frederiksplein,1017 XM Amsterdam (De Weteringschans),2450,64,2,Furnished
Apartment Kinkerstraat 260 A,1053 GA Amsterdam (Kinkerbuurt),2750,95,4,Upholstered
Apartment Keizersgracht 441,1017 DJ Amsterdam (Grachtengordel-Zuid),7500,277,7,Furnished
Apartment Bloemgracht,1015 TR Amsterdam (Jordaan),4750,132,4,Furnished
Apartment Kerkstraat 132 B,1017 GP Amsterdam (Grachtengordel-Zuid),2350,70,2,Upholstered
House Gerard Ruttenhof 15,1087 EL Amsterdam (IJburg West),2995,157,4,Upholstered
Apartment Singel,1016 AC Amsterdam (Grachtengordel-West),3450,105,4,Furnished
Apartment Stadionweg 182 2,1077 TC Amsterdam (Apollobuurt),3100,106,3,Upholstered or furnished
Apartment Sassenheimstraat 59 3,1059 BD Amsterdam (Hoofddorppleinbuurt),2500,78,4,Upholstered or furnished
Apartment Bredeweg 2 II,1098 BP Amsterdam (Middenmeer),2350,67,3,Upholstered
Apartment Veembroederhof 51,1019 HD Amsterdam (Oostelijk Havengebied),2800,150,4,Upholstered
Apartment Van Boshuizenstraat,1082 AN Amsterdam (Buitenveldert-Oost),2000,67,3,Furnished
Apartment Bosboom Toussaintstraat,1054 AT Amsterdam (Helmersbuurt),4750,155,5,Furnished
Apartment Maria Austriastraat 682 C,1087 JC Amsterdam (IJburg West),2150,40,2,Upholstered
Apartment Egelantiersgracht,1015 RB Amsterdam (Jordaan),2750,70,4,Furnished
House Panamakade,1019 TT Amsterdam (Oostelijk Havengebied),2950,166,4,Furnished
Apartment Erich Salomonstraat 112,1087 EH Amsterdam (IJburg West),2200,103,3,Upholstered or furnished
Apartment Nachtwachtlaan 506,1058 ET Amsterdam (Overtoomse Veld),2300,100,3,Furnished
Apartment Burmanstraat 35,1091 SH Amsterdam (Weesperzijde),1950,47,2,Furnished
Apartment Prins Hendrikkade,1012 TK Amsterdam (Burgwallen-Nieuwe Zijde),2250,75,2,Furnished
Apartment Het Breed 515,1025 HT Amsterdam (Buikslotermeer),1750,95,3,Upholstered
House Dierenriem,1033 AE Amsterdam (Tuindorp Oostzaan),2250,84,4,Upholstered or furnished
Apartment Keizersgracht,1015 CX Amsterdam (Grachtengordel-West),2295,72,2,Furnished
Apartment Gerard Douplein 19 2,1073 XE Amsterdam (Oude Pijp),2100,70,3,Upholstered
Apartment Stadionkade 69 2,1077 VS Amsterdam (Apollobuurt),2750,110,4,Furnished
Apartment H. Diesveldsingel,1060 RL Amsterdam (Middelveldsche Akerpolder),2750,106,4,Upholstered
Apartment Johannes Verhulststraat,1075 HC Amsterdam (Willemspark),2850,75,3,Furnished
Apartment Geuzenstraat 48 3,1056 KE Amsterdam (Geuzenbuurt),2200,100,3,Furnished
Apartment Bestevâerstraat 4 3,1056 HM Amsterdam (Geuzenbuurt),2500,90,3,Upholstered or furnished
Apartment Andreasplein,1058 GD Amsterdam (Westlandgracht),4000,140,4,Furnished
Apartment Van Nijenrodeweg 88 4,1083 EE Amsterdam (Buitenveldert-Oost),2250,100,3,Furnished
Apartment Marnixkade 86 hs,1015 ZH Amsterdam (Jordaan),2250,75,2,Furnished
Apartment Vrolikstraat,1092 TS Amsterdam (Oosterparkbuurt),1550,55,2,Upholstered
Apartment Herengracht 132 C,1015 BV Amsterdam (Grachtengordel-West),10500,190,4,Upholstered or furnished
Apartment Valkenburgerstraat 132 D,1011 NA Amsterdam (Nieuwmarkt/Lastage),2650,95,3,Furnished
Apartment Ruyschstraat 96 Hs,1091 CG Amsterdam (Oosterparkbuurt),3500,123,5,Upholstered
Apartment Keizersgracht 114,1015 CV Amsterdam (Grachtengordel-West),3000,80,4,Furnished
Apartment Nida Senffstraat 43,1095 MX Amsterdam (Zeeburgereiland/Nieuwe Diep),2000,69,3,Upholstered
Apartment Nieuwezijds Voorburgwal 299 C,1012 RM Amsterdam (Burgwallen-Nieuwe Zijde),2998,125,3,Upholstered
Apartment Lauriergracht 109 4,1016 RJ Amsterdam (Jordaan),4500,200,4,Upholstered or furnished
Apartment Prinsengracht,1017 KV Amsterdam (De Weteringschans),3750,120,3,Furnished
Apartment Bosboom Toussaintstraat,1054 AT Amsterdam (Helmersbuurt),4750,155,5,Furnished
Apartment Tweede Tuindwarsstraat 6 2,1015 RZ Amsterdam (Jordaan),2750,76,4,Furnished
Apartment Prinsengracht 652 B,1017 KV Amsterdam (De Weteringschans),3750,120,3,Furnished
Apartment Vondelstraat 70 I,1054 GG Amsterdam (Vondelbuurt),2300,85,2,Furnished
Apartment Jan de Louterstraat,1063 KX Amsterdam (Slotermeer-Zuidwest),2000,116,3,Upholstered or furnished
Apartment Johannes Verhulststraat 224 H,1075 HG Amsterdam (Willemspark),4000,140,5,Upholstered
Apartment Van Tuyll van Serooskerkenweg,1076 JN Amsterdam (Stadionbuurt),4750,156,4,Upholstered
Apartment Rookmelderstraat,1019 VS Amsterdam (Oostelijk Havengebied),1650,50,2,Upholstered
Apartment Van Baerlestraat 76 B,1071 BB Amsterdam (Museumkwartier),3250,85,3,Upholstered
Apartment Rustenburgerstraat,1073 GJ Amsterdam (Nieuwe Pijp),1950,60,3,Furnished
Apartment Okeghemstraat 6 I,1075 PM Amsterdam (Willemspark),2750,75,3,Upholstered or furnished
Apartment Beethovenstraat,1077 JP Amsterdam (Apollobuurt),3800,134,3,Furnished
Apartment IJburglaan,1086 ZJ Amsterdam (IJburg West),1400,42,1,Upholstered
Apartment Molensteeg 1 B,1012 BG Amsterdam (Burgwallen-Oude Zijde),2100,78,3,Upholstered
Apartment Kloveniersburgwal,1011 KA Amsterdam (Nieuwmarkt/Lastage),2500,65,2,Furnished
Apartment Duke Ellingtonstraat,1066 GE Amsterdam (Sloter-/Riekerpolder),2150,94,1,Furnished
House Prinsengracht 516,1017 KJ Amsterdam (De Weteringschans),13500,536,5,Upholstered
Apartment Vleutenstraat,1106 CX Amsterdam (Gein),1825,89,4,Upholstered
Apartment Dalsteindreef,"1102 WX Amsterdam (Bijlmer Centrum (D,F,H))",1650,65,3,Upholstered
Apartment Nicolaas Witsenkade,1017 ZS Amsterdam (De Weteringschans),2150,83,2,Upholstered
Apartment Reinaert de Vosstraat,1055 CL Amsterdam (Landlust),1950,75,2,Furnished
Apartment George Sandstraat,"1102 AG Amsterdam (Bijlmer Centrum (D,F,H))",2100,92,4,Upholstered or furnished
Apartment Gerrit van der Veenstraat 46 I,1077 EE Amsterdam (Apollobuurt),3475,149,4,Upholstered
Apartment Wouwermanstraat,1071 LW Amsterdam (Museumkwartier),4250,161,4,Upholstered
Apartment Kerkstraat,1017 GN Amsterdam (Grachtengordel-Zuid),3900,150,3,Furnished
Apartment De Lairessestraat,1071 PL Amsterdam (Museumkwartier),3850,141,3,Furnished
Apartment Frederik Hendrikplantsoen 3 hs,1052 XN Amsterdam (Frederik Hendrikbuurt),2400,63,3,Upholstered or furnished
Apartment Bloemgracht,1016 KN Amsterdam (Jordaan),2000,66,2,Furnished
Apartment Tweede Oosterparkstraat 184 H,1092 BT Amsterdam (Oosterparkbuurt),2100,84,3,Upholstered
Apartment Bosboom Toussaintstraat,1054 AT Amsterdam (Helmersbuurt),4750,155,5,Furnished
Apartment Roerstraat,1078 LL Amsterdam (Scheldebuurt),2300,75,3,Furnished
Apartment Emmy Andriessestraat 468,1087 NE Amsterdam (IJburg Zuid),1920,126,4,Shell
Apartment Curaçaostraat 101 3,1058 BS Amsterdam (Westindische Buurt),2700,96,3,Furnished
Apartment Anjeliersstraat 470 B,1015 NL Amsterdam (Jordaan),2950,78,3,Furnished
Apartment Jan van Duivenvoordestraat,1067 MT Amsterdam (Geuzenveld),1850,92,3,Furnished
Apartment Geschutswerf,1018 AW Amsterdam (Oostelijke Eilanden/Kadijken),3950,170,4,Furnished
Apartment IJburglaan,1087 EN Amsterdam (IJburg West),2700,96,3,Furnished
Apartment Meerhuizenstraat,1078 TE Amsterdam (IJselbuurt),2000,60,2,Upholstered
Apartment Zeeburgerkade,1019 VK Amsterdam (Oostelijk Havengebied),2100,80,3,Furnished
Apartment Afroditekade,1076 DZ Amsterdam (Stadionbuurt),1850,80,2,Furnished
Apartment Stadionweg 122 I,1077 SV Amsterdam (Apollobuurt),3000,110,3,Upholstered
Apartment Marco Polostraat,1056 DM Amsterdam (Van Galenbuurt),1900,75,3,Upholstered
Apartment Schimmelstraat,1053 TA Amsterdam (Kinkerbuurt),2850,100,3,Furnished
Apartment Bellamydwarsstraat 4 4,1053 BD Amsterdam (Kinkerbuurt),2000,50,2,Furnished
Apartment J.J. Cremerplein,1054 TK Amsterdam (Overtoomse Sluis),3700,133,4,Upholstered or furnished
Apartment John Blankensteinstraat 127 A,1095 MB Amsterdam (Zeeburgereiland/Nieuwe Diep),1600,50,2,Upholstered
Apartment Keizersgracht,1015 CV Amsterdam (Grachtengordel-West),3000,80,2,Furnished
Apartment Johannes van der Waalsstraat,1098 PG Amsterdam (Middenmeer),2950,115,5,Furnished
Apartment Nieuwpoortstraat 94 C6,1055 RZ Amsterdam (Landlust),1700,48,2,Upholstered
Apartment Veembroederhof 197,1019 HD Amsterdam (Oostelijk Havengebied),2500,110,4,Furnished
Apartment Osdorpplein,1068 TD Amsterdam (Osdorp-Oost),1750,48,2,Upholstered
Apartment Jacob Marisstraat 86 H,1058 JA Amsterdam (Hoofddorppleinbuurt),2750,95,3,Upholstered
Apartment Bloemgracht,1016 KK Amsterdam (Jordaan),3500,75,3,Furnished
Apartment Bloemgracht,1016 KK Amsterdam (Jordaan),2500,65,3,Furnished
Apartment Oostenburgervoorstraat 47,1018 MN Amsterdam (Oostelijke Eilanden/Kadijken),3500,140,4,Furnished
Apartment Prinsenstraat,1015 DA Amsterdam (Grachtengordel-West),2750,110,3,Furnished
Apartment Hillegomstraat 32 2,1058 LT Amsterdam (Hoofddorppleinbuurt),2800,85,4,Furnished
Apartment Noorderstraat,1017 TR Amsterdam (De Weteringschans),2950,90,3,Furnished
Apartment Bosboom Toussaintstraat,1054 AT Amsterdam (Helmersbuurt),4750,155,5,Furnished
Apartment Czaar Peterstraat,1018 PX Amsterdam (Oostelijke Eilanden/Kadijken),2350,90,4,Furnished
Apartment Anna Blamansingel 238,"1102 SX Amsterdam (Bijlmer Centrum (D,F,H))",1800,100,3,Upholstered or furnished
Apartment Deurloostraat 72 HS,1078 JG Amsterdam (Scheldebuurt),2600,100,4,Upholstered
Apartment Orteliusstraat 221 3,1056 NR Amsterdam (Van Galenbuurt),1850,60,2,Furnished
Apartment Ridderspoorweg,1032 LL Amsterdam (Noordelijke IJ-oevers West),1750,50,2,Upholstered or furnished
Apartment Keizersgracht,1016 GD Amsterdam (Grachtengordel-West),4500,121,3,Upholstered or furnished
Apartment Ilperveldstraat 135,1024 PL Amsterdam (Waterlandpleinbuurt),2100,100,3,Furnished
Apartment Rietlandpark,1019 DR Amsterdam (Oostelijk Havengebied),2950,120,3,Furnished
Apartment Brouwersgracht,1013 HD Amsterdam (Haarlemmerbuurt),2450,85,2,Furnished
Apartment Leidsekade,1016 CZ Amsterdam (Jordaan),2495,105,3,Furnished
Apartment Venetiëhof,1019 ND Amsterdam (Oostelijk Havengebied),1950,90,3,Furnished
House Prinsengracht,1016 JA Amsterdam (Jordaan),4750,181,6,Upholstered
Apartment Prinsengracht,1015 DV Amsterdam (Jordaan),3250,100,4,Furnished
Apartment Weesperzijde,1091 EJ Amsterdam (Weesperzijde),1850,55,2,Upholstered
House Simon Stevinstraat 33 hs,1097 BX Amsterdam (Frankendael),3250,138,5,Upholstered
Apartment Wilhelminastraat,1054 WB Amsterdam (Overtoomse Sluis),2950,106,3,Furnished
Apartment Westlandgracht,1059 TR Amsterdam (Hoofddorppleinbuurt),1995,90,3,Shell
Apartment Maasstraat,1079 BE Amsterdam (Scheldebuurt),2400,95,4,Furnished
Apartment Ladogameerhof 270,1060 RG Amsterdam (Middelveldsche Akerpolder),1700,86,3,Furnished
Apartment Kiekstraat 177,1087 GT Amsterdam (IJburg West),1900,98,3,Upholstered
Apartment Vierwindendwarsstraat 15 II,1013 LB Amsterdam (Haarlemmerbuurt),2500,85,3,Upholstered
Apartment Oudezijds Achterburgwal,1012 DE Amsterdam (Burgwallen-Oude Zijde),1695,55,3,Upholstered
Apartment President Kennedylaan,1079 ND Amsterdam (Rijnbuurt),1750,49,2,Furnished
Apartment Kleiburg 523,"1104 EA Amsterdam (Bijlmer Oost (E,G,K))",1600,68,3,Furnished
Apartment Jan Luijkenstraat,1071 CS Amsterdam (Museumkwartier),5000,236,4,Furnished
Apartment Bloemgracht,1016 KL Amsterdam (Jordaan),2400,75,3,Furnished
Apartment Vogelenzangstraat 62 I,1058 SW Amsterdam (Hoofddorppleinbuurt),1750,54,2,Upholstered or furnished
Apartment Bosboom Toussaintstraat,1054 AT Amsterdam (Helmersbuurt),4750,155,5,Furnished
Apartment Zuid-Hollandstraat 18 I,1082 EK Amsterdam (Buitenveldert-West),2150,78,4,Upholstered
Apartment Van Baerlestraat 72 D,1071 BA Amsterdam (Museumkwartier),3500,150,3,Upholstered
Apartment Minervalaan,1077 PK Amsterdam (Apollobuurt),4250,140,3,Upholstered
Apartment Daniël Stalpertstraat,1072 XB Amsterdam (Oude Pijp),2150,80,3,Furnished
Apartment Slotermeerlaan 23,1064 GZ Amsterdam (Slotermeer-Zuidwest),1750,80,4,Furnished
Apartment Cornelis Anthoniszstraat,1071 VR Amsterdam (Museumkwartier),2650,70,3,Upholstered
Apartment Keizersgracht 734 C,1017 EW Amsterdam (Grachtengordel-Zuid),3500,136,3,Upholstered
Apartment Gustav Mahlerplein 175,1082 MS Amsterdam (Zuidas),2550,87,2,Furnished
Apartment Fritz Dietrich Kahlenbergstraat,1087 LL Amsterdam (IJburg Zuid),1950,93,3,Furnished
Apartment Valeriusstraat 60 II,1071 ML Amsterdam (Museumkwartier),3950,130,5,Upholstered
Apartment Banstraat 28 3,1071 KA Amsterdam (Museumkwartier),4850,151,5,Furnished
Apartment Vossiusstraat 39 hs,1071 AH Amsterdam (Museumkwartier),7750,260,7,Upholstered
Apartment Nieuwe Leliestraat 66 H,1015 SV Amsterdam (Jordaan),2750,78,3,Upholstered or furnished
Apartment Bloemgracht,1015 TT Amsterdam (Jordaan),6000,195,6,Upholstered
Apartment Brouwersgracht 96 H,1013 GZ Amsterdam (Grachtengordel-West),3600,104,5,Furnished
Apartment Herengracht,1017 CD Amsterdam (Grachtengordel-Zuid),5650,125,3,Furnished
House Jaagpad 31,1059 BP Amsterdam (Hoofddorppleinbuurt),5000,200,6,Furnished
House Valeriusplein,1075 BJ Amsterdam (Willemspark),8000,366,6,Upholstered
Apartment Nicolaas Witsenkade,1017 ZS Amsterdam (De Weteringschans),7950,200,6,Furnished
Apartment Milovan Djilasplein,"1102 JZ Amsterdam (Bijlmer Centrum (D,F,H))",1500,79,3,Furnished
Apartment Minervaplein,1077 TR Amsterdam (Apollobuurt),2850,111,3,Furnished
Apartment Amstelveenseweg 224 3,1075 XT Amsterdam (Schinkelbuurt),2950,115,3,Furnished
House Bongerdkade,1036 LZ Amsterdam (Tuindorp Oostzaan),3100,150,5,Furnished
Apartment Biesboschstraat 32 1,1078 MT Amsterdam (Scheldebuurt),2200,81,3,Upholstered or furnished
Apartment Bosboom Toussaintstraat,1054 AT Amsterdam (Helmersbuurt),4750,155,5,Furnished
Apartment Het Breed,1025 JC Amsterdam (Buikslotermeer),3000,60,3,Furnished
House Veenbesstraat 2,1036 LP Amsterdam (Tuindorp Oostzaan),2800,130,5,Upholstered
Apartment Noorderdwarsstraat 8,1017 TX Amsterdam (De Weteringschans),2750,85,3,Furnished
Apartment Prinsengracht,1015 DR Amsterdam (Grachtengordel-West),3750,104,3,Furnished
House Stade de Colombes,1098 VS Amsterdam (Middenmeer),3000,232,7,Furnished
Apartment KNSM-laan,1019 LH Amsterdam (Oostelijk Havengebied),2500,107,3,Furnished
Apartment Bosboom Toussaintstraat,1054 AT Amsterdam (Helmersbuurt),4750,155,5,Furnished
Apartment De Boelelaan,1082 RD Amsterdam (Buitenveldert-West),2350,85,3,Furnished
Apartment Rustenburgerstraat,1073 EW Amsterdam (Nieuwe Pijp),1950,50,2,Upholstered
Apartment Merckenburg 12,1082 BT Amsterdam (Buitenveldert-West),2850,74,4,Furnished
Apartment Veerstraat 51 4,1075 SN Amsterdam (Schinkelbuurt),2350,70,2,Furnished
Apartment Herengracht 268 II,1016 BW Amsterdam (Grachtengordel-West),2495,70,3,Upholstered or furnished
Apartment Rosy Wertheimstraat 95,1082 MZ Amsterdam (Zuidas),2550,72,2,Furnished
Apartment Tweede van Swindenstraat,1093 XA Amsterdam (Dapperbuurt),1550,42,2,Upholstered
Apartment Amstelveenseweg,1075 XR Amsterdam (Schinkelbuurt),3000,92,4,Furnished
Apartment Bestevâerstraat,1056 HN Amsterdam (Geuzenbuurt),1900,77,3,Furnished
Apartment Van Tuyll van Serooskerkenweg,1076 JJ Amsterdam (Stadionbuurt),3750,140,7,Upholstered
